Series_ID,Region_Name,Region_Code,2021_April
GABIBB1URN,"Bibb County, GA",13021,4.9
LABIEN3URN,"Bienville Parish, LA",22013,6.5
MTBIGH3URN,"Big Horn County, MT",30003,9
WYBIGH3URN,"Big Horn County, WY",56003,5.3
MNBIGS1URN,"Big Stone County, MN",27011,4.2
NDBILL7URN,"Billings County, ND",38007,2.9
IDBING1URN,"Bingham County, ID",16011,2.9
IABLAC2URN,"Black Hawk County, IA",19013,4.3
INBLAC9URN,"Blackford County, IN",18009,4.1
NCBLAD7URN,"Bladen County, NC",37017,5
NEBLAI9URN,"Blaine County, NE",31009,1.6
IDBLAI3URN,"Blaine County, ID",16013,3.6
MTBLAI5URN,"Blaine County, MT",30005,4
OKBLAI1URN,"Blaine County, OK",40011,3
PABLAI3URN,"Blair County, PA",42013,5.8
TXBLAN1URN,"Blanco County, TX",48031,3.6
VABLAN1URN,"Bland County, VA",51021,3.3
GABLEC3URN,"Bleckley County, GA",13023,4.3
TNBLED7URN,"Bledsoe County, TN",47007,4.9
ALBLOU9URN,"Blount County, AL",1009,2.2
TNBLOU0URN,"Blount County, TN",47009,3.7
MNBLUE5URN,"Blue Earth County, MN",27013,3.5
IDBOIS5URN,"Boise County, ID",16015,5.5
MSBOURN,"Bolivar County, MS",28011,7.3
MOBOURN,"Bollinger County, MO",29017,3.5
SDBONH9URN,"Bon Homme County, SD",46009,2.6
ILBOURN,"Bond County, IL",17005,4.6
IDBONN7URN,"Bonner County, ID",16017,4.8
IDBONN0URN,"Bonneville County, ID",16019,2.7
INBOON1URN,"Boone County, IN",18011,2.5
IABOON5URN,"Boone County, IA",19015,3.1
ILBOON7URN,"Boone County, IL",17007,10
MOBNURN,"Boone County, MO",29019,2.6
WVBOON5URN,"Boone County, WV",54005,6.9
KYBOON5URN,"Boone County, KY",21015,3.1
NEBOON1URN,"Boone County, NE",31011,1.7
ARBOURN,"Boone County, AR",5009,3.1
TXBORD3URN,"Borden County, TX",48033,2.7
TXBOSQ5URN,"Bosque County, TX",48035,4.7
LABOSS5URN,"Bossier Parish, LA",22015,4.5
VABOTE3URN,"Botetourt County, VA",51023,2.8
NDBOTT9URN,"Bottineau County, ND",38009,5.8
COBOUL3URN,"Boulder County, CO",8013,5.3
IDBOUN1URN,"Boundary County, ID",16021,4.3
KYBOUR7URN,"Bourbon County, KY",21017,3.1
KSBOUR1URN,"Bourbon County, KS",20011,3.7
TXBOWI7URN,"Bowie County, TX",48037,6.2
NDBOWM1URN,"Bowman County, ND",38011,2.7
NEBOXB3URN,"Box Butte County, NE",31013,2.1
UTBOXE3URN,"Box Elder County, UT",49003,2.3
NEBOYD5URN,"Boyd County, NE",31015,1.7
KYBOYD5URN,"Boyd County, KY",21019,5
KYBLURN,"Boyle County, KY",21021,4
KYBRAC3URN,"Bracken County, KY",21023,3.4
PABRAD5URN,"Bradford County, PA",42015,5.3
FLBRAD7URN,"Bradford County, FL",12007,4.3
TNBRAD5URN,"Bradley County, TN",47011,4.1
ARBRURN,"Bradley County, AR",5011,4.7
MIBRAN3URN,"Branch County, MI",26023,4.5
GABRAN5URN,"Brantley County, GA",13025,3.5
WVBRAX7URN,"Braxton County, WV",54007,7.4
TXBRAZ0URN,"Brazoria County, TX",48039,7.6
TXBRAZ3URN,"Brazos County, TX",48041,4.5
